word,score
다시 봐도,201
다시 한번,168
다시 보니,79
다시 대해,72
다시 생각하게,54
다시 볼,50
다시 오랜만에,33
다시 극장에서,32
다시 본,29
다시 꼭,27
다시 영화를,24
다시 보면,21
다시 생각해보게,20
다시 봤는데,20
다시 소중함을,19
다시 영화관에서,19
다시 만나,18
다시 의미를,16
다시 보고싶은,16
다시 보게,14
다시 싶은,14
다시 지금,13
다시 가족을,13
다시 봐야,13
다시 사랑을,12
다시 나를,12
다시 봐야겠다,12
다시 돌아보게,11
다시 오면,11
다시 나중에,10
다시 촛불이,10
다시 생각해,10
다시 금,10
다시 깨어나,10
다시 사랑에,10
다시 기억을,9
다시 인생을,9
다시 봤다,9
다시 아침,8
다시 싶네요,8
다시 처음부터,8
다시 것을,8
다시 보아도,8
다시 보니까,8
다시 본다면,8
다시 봐야지,8
다시 생각을,7
다시 만날,7
다시 또,7
다시 명작은,7
다시 만나게,7
다시 봐서,7
다시 재개봉으로,7
다시 봄,7
다시 영화는,7
다시 봐야겠어요,6
다시 명작,6
다시 생각해볼,6
다시 역시,6
다시 삶을,6
다시 만난,6
다시 부모님을,6
다시 흘러,6
다시 메멘토,5
다시 만나고,5
다시 삶에,5
다시 생각,5
다시 20년만에,5
다시 걸,5
다시 말해,5
다시 명작을,5
다시 몇번이고,5
다시 내가,5
다시 생각하게되는,5
다시 느끼게,5
다시 봤지만,5
다시 사랑해,5
다시 난,5
다시 사랑할,5
다시 후,5
다시 우리는,5
다시 언제든,4
다시 재개봉해서,4
다시 생각해보니,4
다시 번이고,4
다시 거꾸로,4
다시 놀란,4
다시 보는데,4
다시 앨리가,4
다시 못,4
다시 제대로,4
다시 보면서,4
다시 보고싶다,4
다시 싶어요,4
다시 할,4
다시 뒤,4
다시 봤는데도,4
다시 오랫만에,4
다시 그녀를,4
다시 처음으로,4
내가 나를,50
내가 본,45
내가 나는,32
내가 젊은,31
내가 나일,28
내가 나로,27
내가 사랑하는,26
내가 영화를,25
내가 기억이고,24
내가 다,24
내가 좋아하는,23
내가 지금,23
내가 늙은,21
내가 가장,20
내가 아닌,17
내가 진짜,17
내가 사랑했는지,16
내가 아는,16
내가 간절히,15
내가 될,14
내가 뭘,13
내가 건,13
내가 않기를,12
내가 기억을,12
내가 생각하는,12
내가 나로서,12
내가 가진,12
내가 원하는,11
내가 하면,11
내가 애틋하거든,11
내가 할,11
내가 기억하는,11
내가 난,10
내가 들국화까지도,10
내가 니,9
내가 애틋해,9
내가 것은,9
내가 살아보니까,9
내가 제일,9
내가 아직,9
내가 아니게,9
내가 꿈꾸는,8
내가 누군지,8
내가 내,8
내가 기억하고,8
내가 치매에,8
내가 겪을,8
내가 나도,8
내가 싶은,7
내가 이걸,7
내가 아니라,7
내가 봐도,7
내가 돌아오도록,7
내가 나중에,6
내가 생각한,6
내가 살아온,6
내가 꿈을,6
내가 앞으로,6
내가 사는,6
내가 노아에게,6
내가 쌓아온,6
내가 시를,6
내가 아니다,6
내가 알츠하이머에,6
내가 나일수,6
내가 당신을,6
내가 속,6
내가 있을까,6
내가 사라져도,6
내가 나이가,6
내가 주인공이,6
내가 감히,6
내가 내내,6
내가 다시,5
내가 사라지는,5
내가 누구인지,5
내가 지금이,5
내가 더이상,5
내가 널,5
내가 어쩌면,5
내가 보기엔,5
내가 나임을,5
내가 된다,5
내가 버리면,5
내가 저런,5
내가 울었다,5
내가 이래서,5
내가 있고,5
내가 한다,4
내가 그건,4
내가 늙으면,4
내가 것이다,4
내가 보면서,4
내가 지금까지,4
내가 만든,4
내가 앨리스가,4
내가 기대한,4
내가 알던,4
내가 만드는,4
내가 오거나,4
연기가 배우들의,200
연기가 좋았어요,96
연기가 배우들,85
연기가 좋았습니다,76
연기가 배우의,71
연기가 무어의,67
연기가 좋았다,56
연기가 홉킨스의,38
연기가 좋아요,34
연기가 좋았고,33
연기가 배우분들,33
연기가 좋다,24
연기가 좋아서,20
연기가 배우분들의,19
연기가 배우님의,19
연기가 줄리안무어의,18
연기가 좋네요,18
연기가 돋보이는,18
연기가 배우,17
연기가 아주,17
연기가 배우님,15
연기가 서현진의,14
연기가 다,14
연기가 진짜,14
연기가 주인공의,14
연기가 배우님들,11
연기가 홉킨스,11
연기가 빛을,11
연기가 훌륭한,11
연기가 인상,10
연기가 연출과,10
연기가 안소니의,10
연기가 넘,9
연기가 인상적입니다,9
연기가 서현진,9
연기가 안소니홉킨스의,9
연기가 매우,8
연기가 인상적인,8
연기가 아닌,8
연기가 역시,8
연기가 일품,8
연기가 최고,8
연기가 주연배우들의,8
연기가 좋았던,8
연기가 무어,8
연기가 영화를,7
연기가 돋보인,7
연기가 영화의,7
연기가 아니라,7
연기가 제일,7
연기가 압권,7
연기가 잔잔한,7
연기가 좋았음,7
연기가 좋은,7
연기가 인상적,7
연기가 특히,7
연기가 배우님들의,7
연기가 너무나,6
연기가 줄리안무어,6
연기가 돋보였던,6
연기가 서현진님의,6
연기가 인상깊었습니다,5
연기가 인상깊어요,5
연기가 더욱,5
연기가 훌륭해서,5
연기가 다했다,5
연기가 모든,5
연기가 가슴에,5
연기가 훌륭합니다,5
연기가 그녀의,5
연기가 다들,5
연기가 분의,5
연기가 자연스러운,5
연기가 너무너무,5
연기가 가슴을,5
연기가 두배우의,5
연기가 좋습니다,5
