category,word,score
1991,로버트,13
1991,사랑의,10
1991,로빈,10
1991,기적,8
1991,다시,8
1991,감동적인,7
1991,가장,7
1991,드니로,6
1991,내가,6
1991,평범한,6
1991,대한,6
1991,드니로의,6
1991,연기,5
1991,나는,5
1991,아름다운,5
1991,보고,5
1991,것을,5
1991,기적을,5
1991,연기는,5
1991,배우의,5
1991,감동,5
1991,기적이,5
1991,좋은,5
1991,최고의,5
1991,영화를,4
1991,없는,4
1991,삶의,4
1991,윌리엄스,4
1991,올리버,4
1991,있는,4
1991,소중함을,4
1991,마지막,4
1991,실화,4
1991,같은,4
1991,로버트 드니로의,4
1991,아름다웠다,3
1991,따뜻한,3
1991,로빈윌리엄스,3
1991,감동의,3
1991,일상의,3
1991,없다,3
1991,연기가,3
1991,짧은,3
1991,기적은,3
1991,잊고,3
1991,눈물이,3
1991,것이,3
1991,소중한,3
1991,일깨워주는,3
1991,기적이란,3
1991,그냥,3
1991,봐야할,3
1991,로빈 윌리엄스,3
1991,감사합니다,3
1991,보는,3
1991,명연기,3
1991,상당히,3
1991,영화는,3
1991,윌리엄스의,3
1991,기적같은,3
1991,더욱,3
1991,사는,3
1991,영화가,3
1991,그의,3
1991,사람들에게,3
1991,니로의,3
1991,삶을,3
1991,것들에,3
1991,깨어있는,3
1991,사랑,3
1991,레너드의,3
1991,명배우의,3
1991,울었다,3
1991,그들의,3
1991,모든,2
1991,순간,2
1991,사람,2
1991,로빈 윌리엄스의,2
1991,로버트 드니로,2
1991,보시길,2
1991,니로,2
1991,아니라,2
1991,가슴이,2
1991,한다,2
1991,우리는,2
1991,것들을,2
1991,잠깐의,2
1991,세상에서,2
1991,연기를,2
1991,배우들의,2
1991,것들에 대한,2
1991,보다,2
1991,매일,2
1991,명작,2
1991,눈물,2
1991,것은,2
1991,주는,2
1991,계속,2
1991,행복을,2
1991,많은,2
1991,작품,2
1991,윌리암스,2
1991,가장 아름다운,2
1991,우린,2
1991,로버트 니로,2
1991,지금,2
1991,제목이,2
1991,말이,2
1991,실화를,2
1991,좋다,2
1991,기적과,2
1991,우리가,2
1991,모르고,2
1991,사랑을,2
1991,진짜,2
1991,훌륭한,2
1991,당신을,2
1991,있다는,2
1991,영화의,2
1991,살아있음에,2
1991,색스,2
1991,소중함,2
1991,정말로,2
1991,감동이,2
1991,레너드,2
1991,저는,2
1991,사람을,2
1991,ebs에서,2
1991,아름답고,2
1991,않을,2
1991,깨울,2
1991,삶이,2
1991,진정한,2
1991,한번,2
1991,30년만에,2
1991,장면에서,2
1991,이렇게,2
1991,춤은,2
1991,로빈 윌리암스,2
1991,포기하지,2
1991,하는,2
1991,장면,2
1991,올리버 색스,2
1991,매우,2
1991,주어진,2
1991,감사를,2
1991,말로는,2
1991,사랑이,2
1991,환자를,2
1991,인생,2
