word,score
경찰,7768
검찰,7053
코로나,5982
코로나19,5483
여성,5432
의혹,5320
징역,5268
수사,5231
포토,5010
혐의,4991
서울,4571
단독,4462
확진,4388
구속,4330
속보,4229
20대,3971
사망,3849
정부,3765
확진자,3691
인사,3609
사설,3435
백신,3424
이재명,3262
법원,3231
사건,3174
지원,3136
서울시,3133
전국,3088
30대,3052
환자,3032
40대,3013
기소,2975
윤석열,2975
50대,2937
남성,2868
논란,2861
조사,2629
아들,2543
추가,2537
무죄,2533
검사,2517
접종,2472
압수수색,2419
폭행,2395
구속영장,2355
살해,2347
2명,2294
재판,2274
60대,2225
확정,2181
수능,2176
오늘,2163
날씨,2143
송치,2120
대법,2116
발견,2107
검거,2105
교사,2101
인천,2100
확대,2096
피해자,2093
조국,2062
직원,2052
장애인,2051
성폭행,2046
숨진,2021
대표,2018
운영,2014
오늘의,2013
영상,2011
마스크,2009
다시,1928
마약,1893
피해,1884
불법,1874
감염,1862
체포,1857
선고,1841
의사,1820
공무원,1820
신규,1819
최대,1803
노조,1800
학교,1790
구형,1778
실형,1770
교육,1765
우려,1764
집행유예,1752
학생,1741
흉기,1723
3명,1695
가족,1687
교수,1686
공수처,1676
위반,1665
수도권,1654
발생,1652
교육부,1646
성추행,1641
병원,1638
살해한,1638
국내,1618
대상,1596
검토,1576
아내,1573
인정,1562
공개,1558
살인,1543
개최,1543
의대,1535
추진,1515
사고,1505
1년,1505
파업,1492
1심,1490
1명,1485
회장,1470
10대,1465
신청,1459
대학,1458
아냐,1455
추미애,1449
한동훈,1443
강화,1436
이태원,1429
하루,1417
기각,1410
남편,1401
위험,1392
대응,1389
고발,1389
아파트,1387
입건,1381
시작,1373
소송,1367
올해,1351
가능,1350
법무부,1347
거리두기,1344
최고,1343
가장,1337
숨져,1334
장관,1332
오후,1320
2년,1318
4명,1307
징역형,1306
적발,1305
국민,1299
전공의,1298
70대,1294
벌금,1288
결정,1287
유죄,1286
참사,1281
확산,1280
소환,1275
청구,1272
엄마,1263
모집,1263
치료,1261
실시,1261
증가,1261
필요,1257
청소년,1251
경향포토,1248
vs,1245
선정,1241
2차,1241
kbs,1228
내년,1219
대장동,1219
집회,1217
늘어,1216
진행,1216
출석,1208
박원순,1207
발표,1204
신고,1201
10명,1200
착수,1197
대통령,1196
음주운전,1190
3년,1187
벌금형,1169
확인,1158
노동자,1155
처벌,1149
강남,1147
서울대,1145
횡령,1139
적용,1123
김건희,1123
건강,1121
온라인,1117
없다,1113
중단,1108
사기,1106
5년,1102
숨지게,1102
변호사,1095
태풍,1094
문제,1094
가능성,1092
도입,1088
부산,1088
한국,1081
기고,1080
종합,1071
지하철,1067
현장,1066
외국인,1065
집단감염,1063
폭행한,1063
방역,1062
화재,1059
책임,1057
판결,1056
아동,1054
운전자,1048
집유,1048
요구,1045
내일,1042
역대,1042
영장,1036
사장,1034
오전,1033
일당,1030
주장,1029
이어,1027
경찰관,1023
일부,1021
혐의로,1020
제주,1020
구속기소,1019
받은,1011
수상,1011
신규확진,1010
별세,1010
선택,1009
총장,1008
사진,1003
건강한,988
피의자,986
거부,986
최저임금,985
미세먼지,981
서울포토,980
계속,979
효과,977
부고,974
학폭,972
학대,971
부부,970
차량,966
최다,958
사과,951
초등생,948
연속,945
모든,940
징계,937
반발,933
부인,932
수술,930
허위,929
자녀,919
지역,918
이재용,917
취소,915
간부,915
5명,915
검찰총장,915
범죄,912
부모,908
출신,905
스토킹,901
폐지,898
없어,898
시행,898
2심도,897
비상,892
인권위,890
위기,890
반대,888
고소,885
이후,884
사람,878
유튜버,878
협박,870
안돼,869
10년,868
mbc,867
앞두고,866
경기도,864
주말,861
현직,859
무혐의,858
학부모,858
의원,857
성범죄,855
있는,855
여친,854
민주당,853
대구,853
직접,850
유족,848
출근길,848
기부,847
성폭력,845
출산,840
대검,840
예고,839
사회적,835
대비,833
연기,832
정경심,831
집단,830
지급,830
항소,824
사망자,823
명예훼손,822
진료,820
무기징역,817
기자,816
급증,815
폭염,814
개선,813
민주노총,813
투약,812
4년,807
등교,803
시신,802
추석,802
같은,801
신설,801
최초,797
금지,797
촉구,797
흉기로,794
확보,794
대신,793
호소,791
성매매,788
친모,788
어린이집,785
전달,785
범행,784
관리,783
논의,782
세계,782
결과,781
노인,780
예방,780
넘어,780
요청,778
연장,776
갈등,774
시위,772
없었다,771
대책,771
감소,765
대법원,764
증원,763
1심서,761
