,Rating_Multi
0,0
1,0
2,0
3,1
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,2
15,1
16,0
17,2
18,2
19,2
20,2
21,1
22,2
23,2
24,2
25,0
26,1
27,2
28,0
29,2
30,0
31,2
32,2
33,2
34,1
35,1
36,2
37,1
38,1
39,2
40,2
41,1
42,2
43,2
44,0
45,1
46,1
47,1
48,0
49,2
50,2
51,0
52,1
53,2
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,0
72,1
73,1
74,1
75,1
76,0
77,1
78,2
79,2
80,1
81,0
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,1
91,2
92,2
93,2
94,1
95,1
96,2
97,2
98,2
99,2
100,2
101,1
102,1
103,2
104,1
105,0
106,0
107,1
108,0
109,0
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,0
121,2
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,2
136,2
137,2
138,2
139,2
140,1
141,1
142,1
143,1
144,2
145,1
146,2
147,0
148,0
149,1
150,1
151,1
152,1
153,0
154,0
155,1
156,1
157,2
158,2
159,0
160,2
161,0
162,1
163,0
164,0
165,1
166,1
167,0
168,0
169,1
170,2
171,2
172,2
173,2
174,1
175,2
176,2
177,1
178,1
179,2
180,2
181,1
182,1
183,1
184,1
185,1
186,2
187,0
188,1
189,1
190,1
191,1
192,1
193,1
194,2
195,2
196,1
197,0
198,2
199,2
200,2
201,2
202,2
203,2
204,1
205,2
206,1
207,2
208,2
209,2
210,2
211,2
212,2
213,1
214,2
215,2
216,2
217,1
218,2
219,1
220,1
221,1
222,0
223,2
224,2
225,1
226,2
227,1
228,2
229,2
230,2
231,2
232,2
233,1
234,2
235,2
236,2
237,1
238,2
239,2
240,1
241,1
242,1
243,1
244,1
245,1
246,2
247,1
248,2
249,0
250,0
251,1
252,2
253,2
254,2
255,2
256,0
257,0
258,2
259,2
260,1
261,1
262,0
263,1
264,1
265,2
266,2
267,2
268,1
269,2
270,2
271,2
272,1
273,2
274,0
275,2
276,2
277,1
278,1
279,1
280,1
281,2
282,1
283,1
284,1
285,2
286,1
287,2
288,1
289,2
290,2
291,1
292,0
293,1
294,2
295,2
296,2
297,2
298,1
299,0
300,1
301,0
302,1
303,1
304,1
305,1
306,0
307,2
308,2
309,1
310,1
311,2
312,1
313,0
314,1
315,1
316,0
317,1
318,2
319,0
320,1
321,2
322,1
323,0
324,2
325,0
326,2
327,1
328,1
329,2
330,1
331,0
332,1
333,2
334,2
335,1
336,1
337,2
338,1
339,2
340,0
341,1
342,0
343,2
344,1
345,0
346,1
347,1
348,2
349,2
350,2
351,2
352,1
353,0
354,0
355,0
356,2
357,0
358,2
359,1
360,2
361,2
362,0
363,1
364,2
365,2
366,0
367,1
368,2
369,0
370,1
371,2
372,2
373,1
374,0
375,2
376,1
377,2
378,1
379,0
380,0
381,2
382,2
383,2
384,2
385,2
386,1
387,1
388,2
389,1
390,1
391,1
392,1
393,2
394,0
395,1
396,1
397,0
398,2
399,1
400,1
401,1
402,2
403,1
404,2
405,2
406,2
407,1
408,1
409,2
410,2
411,2
412,1
413,1
414,0
415,2
416,2
417,1
418,1
419,2
420,2
421,2
422,1
423,2
424,2
425,2
426,2
427,2
428,2
429,1
430,0
431,2
432,1
433,1
434,1
435,1
436,1
437,2
438,2
439,2
440,1
441,2
442,2
443,2
444,2
445,2
446,2
447,1
448,2
449,1
450,1
451,0
452,1
453,1
454,1
455,1
456,0
457,1
458,1
459,1
460,1
461,2
462,0
463,1
464,1
465,2
466,1
467,0
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,0
476,2
477,2
478,0
479,2
480,2
481,0
482,1
483,1
484,1
485,1
486,2
487,0
488,1
489,1
490,0
491,1
492,2
493,1
494,1
495,2
496,1
497,2
498,2
499,2
500,2
501,1
502,2
503,2
504,2
505,2
506,2
507,2
508,1
509,2
510,0
511,0
512,2
513,1
514,1
515,1
516,2
517,2
518,1
519,2
520,1
521,2
522,2
523,1
524,2
525,2
526,1
527,1
528,2
529,1
530,0
531,1
