word(SoyNLP),score(SoyNLP),word(TF-IDF),score(TF-IDF),word(KeyBERT),score(KeyBERT)
연기_배우들의,41.0,있는_볼,107,봤습니다_재밌게,85.0
연기_무어의,39.0,있는_감동이,89,봤습니다_재미있게,74.0
연기_홉킨스의,35.0,있는_할,88,봤습니다_딸에,18.0
연기_최고,30.0,있는_일어날,59,봤습니다_좋았습니다,14.0
연기_연출,29.0,있는_느낄,59,봤습니다_좋은,14.0
연기_가,25.0,있는_수도,50,봤습니다_몰입해서,13.0
연기_배우들,25.0,있는_반전이,46,봤습니다_좋았어요,13.0
연기_최고의,22.0,있는_앓고,35,봤습니다_감명깊게,11.0
연기_무어,21.0,있는_사람이,29,봤습니다_감사합니다,7.0
연기_홉킨스,20.0,있는_살고,28,봤습니다_영화를,7.0
연기_좋은,19.0,있는_생각할,27,봤습니다_재미나게,6.0
연기_좋았어요,19.0,있는_좋은,26,봤습니다_파더,5.0
연기_진짜,18.0,있는_것이,26,봤습니다_연기도,4.0
연기_를,16.0,있는_이야기,26,봤습니다_좋은영화,4.0
연기_좋았습니다,13.0,있는_줄,24,봤습니다_감동적으로,4.0
연기_좋아요,13.0,있는_데,23,봤습니다_있게,4.0
연기_도,13.0,있는_될,22,봤습니다_감동있게,3.0
연기_역시,12.0,있는_게,22,봤습니다_감동적이게,3.0
연기_배우의,12.0,있는_그대로,22,봤습니다_영화네요,3.0
연기_배우,11.0,있는_사랑할,22,봤습니다_영화였어요,3.0
연기_덕분에,10.0,있는_건,20,봤습니다_깊게,3.0
연기_다들,10.0,있는_모든,20,봤습니다_딸에대하여,3.0
연기_줄리안무어,10.0,있는_있을,20,봤습니다_울면서,3.0
연기_훌륭한,10.0,있는_겪을,19,봤습니다_추천하지는,3.0
연기_배우님,9.0,있는_나일,19,봤습니다_즐겁게,3.0
연기_좋고,9.0,있는_영화였어요,18,봤습니다_어이가리,3.0
연기_짱,8.0,있는_생각해볼,18,봤습니다_고맙습니다,2.0
연기_다,8.0,있는_울림이,17,봤습니다_좋아요,2.0
연기_그녀의,8.0,있는_사람을,17,봤습니다_흘리며,2.0
연기_완벽한,8.0,있는_가지고,17,봤습니다_괜찮게,2.0
연기_빛나는,8.0,있는_옆에,17,봤습니다_감사해요,2.0
연기_좋다,8.0,있는_느낄수,17,봤습니다_편안하게,2.0
연기_대단한,7.0,있는_곁에,17,봤습니다_잔잔하게,2.0
연기_는,7.0,있는_알고,17,봤습니다_눈물쏟으면서,2.0
연기_굿,7.0,있는_살아가고,17,봤습니다_더파더,2.0
연기_줄리안무어의,7.0,있는_영화네요,16,봤습니다_박근형님,2.0
연기_그의,7.0,있는_올,16,봤습니다_어머니와,2.0
